player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
Abu Jayed (BAN),2,2,7.0,0,61,3,2/27,20.33,8.71,14.0,0,0,2018
Aftab Alam (AFG),3,3,10.0,0,65,3,2/30,21.66,6.50,20.0,0,0,2018
CR Brathwaite (WI),4,4,13.0,0,96,3,2/32,32.00,7.38,26.0,0,0,2018
RR Emrit (WI),3,3,12.0,0,114,3,1/24,38.00,9.50,24.0,0,0,2018
Karim Janat (AFG),3,3,12.0,0,111,3,1/27,37.00,9.25,24.0,0,0,2018
Iqbal Hussain (QAT),7,7,24.4,0,205,15,4/33,13.66,8.31,9.8,1,0,2019
Ahmed Wardak (GER),9,8,27.5,0,170,14,4/20,12.14,6.10,11.9,1,0,2019
DG Blampied (JER),8,8,28.4,0,158,13,4/20,12.15,5.51,13.2,1,0,2019
CW Perchard (JER),8,6,20.5,0,112,13,5/17,8.61,5.37,9.6,1,1,2019
Baljit Singh (ITA),8,7,23.0,0,127,12,4/20,10.58,5.52,11.5,1,0,2019
Izatullah Dawlatzai (GER),10,10,38.4,0,211,12,3/23,17.58,5.45,19.3,0,0,2019
LC Le Tissier (GUE),9,9,35.0,0,207,12,3/17,17.25,5.91,17.5,0,0,2019
Anwar Rahman (MAS),9,8,23.3,1,117,11,4/16,10.63,4.97,12.8,1,0,2019
AW Hawkins-Kay (JER),8,8,24.0,0,142,11,4/14,12.90,5.91,13.0,1,0,2019
D Heyliger (CAN),5,5,19.0,0,111,11,4/16,10.09,5.84,10.3,2,0,2019
KM Jarvis (ZIM),8,8,26.5,0,274,11,3/32,24.90,10.21,14.6,0,0,2019
S Lamichhane (NEP),6,6,21.0,0,168,11,3/21,15.27,8.00,11.4,0,0,2019
D Maisuria (BOT),6,5,17.1,0,121,11,4/28,11.00,7.04,9.3,1,0,2019
EJB Miles (JER),8,8,22.0,0,123,11,3/10,11.18,5.59,12.0,0,0,2019
CB Mpofu (ZIM),6,6,22.0,0,195,11,4/30,17.72,8.86,12.0,1,0,2019
Muhamad Syahadat (MAS),10,8,21.0,0,127,11,3/7,11.54,6.04,11.4,0,0,2019
Karan KC (NEP),6,6,20.0,0,152,10,3/27,15.20,7.60,12.0,0,0,2019
N Nipiko (VAN),5,5,15.2,0,137,10,5/19,13.70,8.93,9.2,1,1,2019
Nouman Sarwar (QAT),6,5,16.0,0,129,10,3/17,12.90,8.06,9.6,0,0,2019
D Ravu (PNG),5,5,14.5,0,84,10,5/15,8.40,5.66,8.9,0,1,2019
N Vanua (PNG),5,5,17.0,2,94,10,5/17,9.40,5.52,10.2,1,1,2019
Bilal Zalmai (Aut),5,4,14.0,1,66,9,4/12,7.33,4.71,9.3,1,0,2019
GDR Eranga (CAN),6,6,21.5,1,121,9,3/19,13.44,5.54,14.5,0,0,2019
Fitri Sham (MAS),10,9,24.3,0,169,9,3/26,18.77,6.89,16.3,0,0,2019
OD Hald (DEN),9,7,21.3,0,113,9,3/18,12.55,5.25,14.3,0,0,2019
DR Hooper (GUE),9,9,31.2,0,211,9,3/5,23.44,6.73,20.8,0,0,2019
Ilyas Ahmed (KUW),6,6,21.0,0,160,9,3/17,17.77,7.61,14.0,0,0,2019
ND Laegsgaard (DEN),9,7,23.0,0,105,9,2/5,11.66,4.56,15.3,0,0,2019
Md Nurul Huda (FIN),5,5,16.3,0,118,9,3/11,13.11,7.15,11.0,0,0,2019
GRD Munasinghe (ITA),8,7,27.0,1,191,9,4/11,21.22,7.07,18.0,1,0,2019
TK Patel (USA),5,5,18.0,0,101,9,4/27,11.22,5.61,12.0,1,0,2019
WA Peatfield (GUE),8,8,28.0,0,198,9,3/23,22.00,7.07,18.6,0,0,2019
PM Seelaar (NED),9,9,29.3,0,235,9,3/28,26.11,7.96,19.6,0,0,2019
C Viljoen (NAM),3,3,9.0,0,29,9,5/9,3.22,3.22,6.0,1,1,2019
OGL Bascome (BER),6,4,13.0,0,89,8,4/10,11.12,6.84,9.7,1,0,2019
MG Erasmus (NAM),7,6,18.1,0,79,8,3/12,9.87,4.34,13.6,0,0,2019
K Gore (USA),4,4,16.0,2,70,8,3/5,8.75,4.37,12.0,0,0,2019
Muhammad Kashif (KUW),6,5,14.5,0,127,8,3/30,15.87,8.56,11.1,0,0,2019
AK Muslar (Blz),3,3,9.0,1,41,8,3/10,5.12,4.55,6.7,0,0,2019
Rakibul Hasan (ITA),8,7,23.0,2,147,8,2/20,18.37,6.39,17.2,0,0,2019
Rohan Mustafa (UAE),3,3,12.0,0,83,8,3/27,10.37,6.91,9.0,0,0,2019
Saad Bin Zafar (CAN),6,6,23.0,0,141,8,3/8,17.62,6.13,17.2,0,0,2019
R Satheesan (ROM),4,4,13.0,2,44,8,3/14,5.50,3.38,9.7,0,0,2019
C Waiswa (UGA),4,4,14.0,0,115,8,4/38,14.37,8.21,10.5,1,0,2019
Abdul-Shakoor Rahimzei (GER),7,6,15.3,0,101,7,2/10,14.42,6.51,13.2,0,0,2019
MR Adair (IRE),5,5,15.4,0,151,7,4/40,21.57,9.63,13.4,1,0,2019
Amjad Mahboob (SGP),3,3,9.4,0,80,7,3/20,11.42,8.27,8.2,0,0,2019
Bashir Shah (DEN),4,4,14.0,0,76,7,3/14,10.85,5.42,12.0,0,0,2019
TL Chatara (ZIM),5,5,16.0,0,160,7,2/32,22.85,10.00,13.7,0,0,2019
Delawar Khan (DEN),9,7,20.0,1,129,7,2/21,18.42,6.45,17.1,0,0,2019
AU Rashid (ENG),6,5,19.0,0,147,8,3/21,18.37,7.73,14.2,0,0,2020
Ashiqullah Said (Belg),4,4,16.0,0,63,7,3/15,9.00,3.93,13.7,0,0,2020
M Cope (LUX),4,4,16.0,0,114,7,3/16,16.28,7.12,13.7,0,0,2020
WJ Cope (LUX),4,4,11.0,0,70,6,4/18,11.66,6.36,11.0,1,0,2020
Khalid Ahmadi (Belg),4,4,16.0,0,79,6,3/14,13.16,4.93,16.0,0,0,2020
V Vijh (LUX),4,4,12.4,0,113,6,2/24,18.83,8.92,12.6,0,0,2020
AC Agar (AUS),3,3,12.0,0,94,5,2/27,18.80,7.83,14.4,0,0,2020
CJ Jordan (ENG),6,5,17.3,0,152,5,2/29,30.40,8.68,21.0,0,0,2020
NSK Mehta (Belg),4,4,16.0,0,117,5,2/15,23.40,7.31,19.2,0,0,2020
K Mendon (CZK-R),4,4,15.0,1,114,5,3/21,22.80,7.60,18.0,0,0,2020
Saber Zakhil (Belg),4,4,16.0,0,95,5,3/20,19.00,5.93,19.2,0,0,2020
Shadab Khan (PAK),3,3,12.0,0,115,5,3/34,23.00,9.58,14.4,0,0,2020
NN Akhter (MLT),3,2,8.0,0,60,4,3/35,15.00,7.50,12.0,0,0,2020
Amar Sharma (MLT),3,2,8.0,0,62,4,3/23,15.50,7.75,12.0,0,0,2020
ST Kanakalil (MLT),3,2,8.0,0,74,4,4/31,18.50,9.25,12.0,1,0,2020
P Malav (LUX),3,3,8.0,0,63,4,2/10,15.75,7.87,12.0,0,0,2020
Naveed Ahmed (CZK-R),3,2,5.0,0,42,4,3/10,10.50,8.40,7.5,0,0,2020
JC Archer (ENG),3,3,11.0,0,97,3,2/33,32.33,8.81,22.0,0,0,2020
M Breban (GUE),1,1,4.0,0,24,3,3/24,8.00,6.00,8.0,0,0,2020
TK Curran (ENG),6,5,19.0,0,159,3,1/23,53.00,8.36,38.0,0,0,2020
K Gilham (CZK-R),4,4,16.0,0,86,3,1/16,28.66,5.37,32.0,0,0,2020
