player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
ST Gabriel (WI),3,6,68.0,16,213,7,2/47,3/63,30.42,3.13,58.2,0,0,2015
Imran Khan (PAK),2,4,54.4,7,196,7,5/58,5/109,28.00,3.58,46.8,1,0,2015
KAJ Roach (WI),3,6,112.0,16,404,7,4/94,5/147,57.71,3.60,96.0,0,0,2015
Shakib Al Hasan (BAN),5,6,118.3,10,494,7,4/105,4/105,70.57,4.16,101.5,0,0,2015
PVD Chameera (SL),2,4,62.5,3,221,6,3/53,4/86,36.83,3.51,62.8,0,0,2015
CJ Jordan (ENG),3,6,104.0,32,256,6,2/65,3/134,42.66,2.46,104.0,0,0,2015
Junaid Khan (PAK),4,8,109.5,21,379,6,2/26,3/71,63.16,3.45,109.8,0,0,2015
AD Mathews (SL),6,11,84.0,31,155,6,2/15,2/25,25.83,1.84,84.0,0,0,2015
V Permaul (WI),2,4,86.5,14,336,6,3/43,4/129,56.00,3.86,86.8,0,0,2015
PM Siddle (AUS),1,2,37.4,17,67,6,4/35,6/67,11.16,1.77,37.6,0,0,2015
DW Steyn (SA),2,2,38.2,9,108,6,3/30,3/30,18.00,2.81,38.3,0,0,2015
Jubair Hossain (BAN),3,3,35.1,3,171,5,3/53,3/58,34.20,4.86,42.2,0,0,2015
Mohammad Shahid (BAN),5,6,105.0,30,288,5,2/23,4/95,57.60,2.74,126.0,0,0,2015
Rahat Ali (PAK),1,2,42.0,7,156,5,3/74,5/156,31.20,3.71,50.4,0,0,2015
Shuvagata Hom (BAN),3,4,66.0,1,266,5,2/76,3/94,53.20,4.03,79.2,0,0,2015
JC Tredwell (ENG),1,2,66.0,26,140,5,4/47,5/140,28.00,2.12,79.2,0,0,2015
UT Yadav (IND),3,6,63.0,12,263,5,2/65,3/129,52.60,4.17,75.6,0,0,2015
Harbhajan Singh (IND),2,4,47.5,5,165,4,3/64,3/75,41.25,3.44,71.7,0,0,2015
Mustafizur Rahman (BAN),2,2,22.4,6,58,4,4/37,4/58,14.50,2.55,34.0,0,0,2015
HMRKB Herath (SL),6,11,251.3,56,660,35,7/64,13/145,18.85,2.62,43.1,3,1,2016
CR Woakes (ENG),6,12,202.0,51,585,34,6/70,11/102,17.20,2.89,35.6,2,1,2016
JM Anderson (ENG),6,11,196.5,57,458,30,5/16,10/45,15.26,2.32,39.3,3,1,2016
SCJ Broad (ENG),7,13,240.3,60,667,25,4/21,6/109,26.68,2.77,57.7,0,0,2016
MA Starc (AUS),3,6,103.2,28,364,24,6/50,11/94,15.16,3.52,25.8,3,1,2016
N Wagner (NZ),4,7,144.5,35,338,20,6/41,8/103,16.90,2.33,43.4,2,0,2016
Yasir Shah (PAK),4,8,238.0,34,774,19,6/72,10/141,40.73,3.25,75.1,2,1,2016
R Ashwin (IND),4,7,131.0,29,394,17,7/83,7/126,23.17,3.00,46.2,2,0,2016
NM Lyon (AUS),3,6,154.0,23,511,16,4/123,7/233,31.93,3.31,57.7,0,0,2016
