,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
207,CJ Jordan (ENG),1,5,5,5.00,0,1,1/43,43.00,0,0,0,-37.99,2014
208,V Kohli (IND),1,66,66,66.00,0,,,,,,,,
209,KMDN Kulasekara (SL),1,9,9*,-,,,,,,,,,
210,RAS Lakmal (SL),1,,,,,,,,,,,,
211,Mahmudullah (BAN),1,,,,,,,,,,,,
212,SL Malinga (SL),1,,,,,,,,,,,,
213,AD Mathews (SL),1,13,13,13.00,0,1,1/7,7.00,0,0,0,6.00,2014
214,Mohammad Mithun (BAN),1,,,,,,,,,,,,
215,Mohammed Shami (IND),1,,,,,,,,,,,,
216,Mushfiqur Rahim (BAN),1,,,,,,,,,,,,
217,Nasir Hossain (BAN),1,,,,,,,,,,,,
218,MDKJ Perera (SL),1,10,10,10.00,0,,,,,,,,
219,NLTC Perera (SL),1,49,49,49.00,0,1,1/24,24.00,0,0,0,25.00,2014
220,AM Rahane (IND),1,8,8,8.00,0,,,,,,,,
221,SK Raina (IND),1,25,25,25.00,0,,,,,,,,
222,AT Rayudu (IND),1,3,3*,-,,,,,,,,,
223,JJ Roy (ENG),1,8,8,8.00,0,,,,,,,,
224,Rubel Hossain (BAN),1,,,,,,,,,,,,
225,SMSM Senanayake (SL),1,,,,,,,,,,,,
226,Shamsur Rahman (BAN),1,,,,,,,,,,,,
227,KV Sharma (IND),1,,,,,,,,,,,,
228,MM Sharma (IND),1,,,,,,,,,,,,
229,Tamim Iqbal (BAN),1,11,11*,-,,,,,,,,,
230,Taskin Ahmed (BAN),1,,,,,,,,,,,,
231,HDRL Thirimanne (SL),1,40,40,40.00,0,,,,,,,,
232,KDK Vithanage (SL),1,38,38,38.00,0,,,,,,,,
233,W Barresi (NED),8,158,75,19.75,0,,,,,,,,
234,RD Berrington (SCOT),8,73,24*,24.33,0,1,1/31,68.00,0,0,0,-43.66,2015
235,PW Borren (NED),8,187,57,37.40,0,1,1/24,62.00,0,9,0,-24.59,2015
236,KJ Coetzer (SCOT),8,145,39,24.16,0,,,,,,,,
237,BN Cooper (NED),8,223,66,31.85,0,,,,,,,,
238,MH Cross (SCOT),8,206,60,41.20,0,,,,,,,,
239,PL Mommsen (SCOT),8,169,68*,84.50,0,,,,,,,,
240,HG Munsey (SCOT),8,105,62*,26.25,0,,,,,,,,
241,KJ O'Brien (IRE),8,109,36,21.80,0,11,3/8,8.63,0,2,0,13.16,2015
242,SR Thompson (IRE),8,42,26*,10.50,0,3,3/10,20.66,0,4,0,-10.16,2015
243,Ahsan Malik (NED),7,2,2*,-,,,,,,,,,
244,PS Airee (NEP),7,59,29,8.42,0,,,,,,,,
245,A Balbirnie (IRE),7,77,31,19.25,0,,,,,,,,
246,Mudassar Bukhari (NED),7,7,4*,2.33,0,11,4/28,14.09,0,4,0,-11.75,2015
247,AR Cusack (IRE),7,13,13*,13.00,0,3,1/7,38.00,0,0,0,-24.99,2015
248,GH Dockrell (IRE),7,26,10*,8.66,0,5,3/21,17.20,0,4,0,-8.53,2015
249,AC Evans (SCOT),7,0,0,0.00,0,9,5/24,14.88,1,3,0,-14.88,2015
250,P Khadka (NEP),7,153,54,25.50,0,0,,,,,,,
251,MA Leask (SCOT),7,24,13,6.00,0,8,3/20,14.87,0,3,0,-8.87,2015
252,G Malla (NEP),7,75,24,10.71,0,,,,,,,,
253,B Regmi (NEP),7,19,11,3.80,0,10,4/16,15.50,0,1,0,-11.69,2015
254,SM Sharif (SCOT),7,34,26,17.00,0,8,3/29,23.87,0,1,0,-6.87,2015
255,Sompal Kami (NEP),7,45,16,11.25,0,7,2/24,26.42,0,0,0,-15.17,2015
256,S Vesawkar (NEP),7,108,27,15.42,0,,,,,,,,
257,MRJ Watt (SCOT),7,1,1*,1.00,0,4,3/28,42.25,0,1,0,-41.24,2015
258,Asghar Afghan (AFG),6,131,44*,26.20,0,,,,,,,,
259,B Bhandari (NEP),6,25,13,4.16,0,,,,,,,,
260,JH Davey (SCOT),6,12,8,12.00,0,2,1/22,75.50,0,3,0,-63.49,2015
261,Dawlat Zadran (AFG),6,0,0*,-,,,,,,,,,
262,Mirwais Ashraf (AFG),6,0,0*,0.00,0,8,2/21,19.75,0,0,0,-19.74,2015
263,Mohammad Nabi (AFG),6,117,33*,29.25,0,7,3/25,23.14,0,5,0,6.10,2015
264,Mohammad Shahzad (AFG),6,171,75,28.50,0,,,,,,,,
265,SJ Myburgh (NED),6,168,71*,42.00,0,,,,,,,,
266,Najibullah Zadran (AFG),6,133,44,33.25,0,,,,,,,,
