,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
134,Tanwir Afzal ,HKG,1,6,6,6.0,0,2,2/18,9.0,0,1,0,-2.99,2016,-0.10000000000000009
135,CR Brathwaite ,WI,9,96,37*,48.0,0,12,3/20,14.5,0,5,0,33.5,2017,14.85
136,SP Narine ,WI,9,21,9,5.25,0,10,3/11,19.6,0,4,0,-14.34,2017,-0.3049999999999997
137,MN Samuels ,WI,9,283,89*,40.42,0,3,1/11,18.0,0,2,0,22.42,2017,7.926000000000001
138,R Powell ,WI,7,35,28,11.66,0,1,1/20,20.0,0,4,0,-8.33,2017,-2.1020000000000003
139,JE Taylor ,WI,5,1,1,1.0,0,6,2/31,25.83,0,2,0,-24.83,2017,-5.048999999999999
140,JO Holder ,WI,4,40,26*,20.0,0,2,2/27,54.5,0,2,0,-34.49,2017,-9.549999999999997
141,Imad Wasim ,PAK,4,4,4,2.0,0,2,1/12,42.5,0,3,0,-40.49,2017,-11.35
142,CJ Jordan ,ENG,4,6,6,6.0,0,5,3/31,29.2,0,1,0,-23.19,2017,-4.96
143,Shadab Khan ,PAK,4,16,13,16.0,0,10,4/14,7.5,0,0,0,8.5,2017,6.550000000000001
144,Wahab Riaz ,PAK,4,25,24,12.5,0,4,1/6,27.0,0,1,0,-14.49,2017,-2.75
145,DJ Willey ,ENG,4,2,1,1.0,0,2,1/29,61.5,0,2,0,-60.49,2017,-17.349999999999998
146,WT Gavera ,PNG,3,3,2,1.5,0,2,2/19,31.5,0,0,0,-29.99,2017,-8.2
147,Gulbadin Naib ,AFG,3,31,12,15.5,0,1,1/10,10.0,0,1,0,5.5,2017,2.05
148,Karim Janat ,AFG,3,36,20,12.0,0,2,1/12,36.0,0,0,0,-23.99,2017,-6.3999999999999995
149,Mohammad Nabi ,AFG,3,48,38,16.0,0,2,1/21,38.5,0,0,0,-22.49,2017,-5.949999999999999
150,Mohammad Naveed ,UAE,3,19,15,9.5,0,7,3/18,9.57,0,1,0,-0.07,2017,2.7790000000000004
151,AL Phehlukwayo ,SA,3,27,27*,27.0,0,4,2/44,22.25,0,0,0,4.75,2017,3.0249999999999995
152,LE Plunkett ,ENG,3,18,18,9.0,0,6,3/27,14.16,0,2,0,-5.16,2017,0.8519999999999994
153,Rashid Khan ,AFG,3,35,33,17.5,0,2,1/14,25.0,0,0,0,-7.49,2017,-1.4500000000000002
154,JB Reva ,PNG,3,7,6,3.5,0,3,2/18,23.0,0,0,0,-19.49,2017,-4.6499999999999995
155,Rohan Mustafa ,UAE,3,16,9,5.33,0,4,2/27,11.75,0,2,0,-6.41,2017,-0.32600000000000007
156,Sohail Tanvir ,PAK,3,6,4,6.0,0,2,1/21,45.0,0,0,0,-38.99,2017,-10.9
157,A Vala ,PNG,3,23,13,7.66,0,1,1/17,51.0,0,1,0,-43.33,2017,-12.601999999999999
158,N Vanua ,PNG,3,19,14,9.5,0,6,3/35,15.83,0,1,0,-6.33,2017,0.5010000000000003
159,CH Morris ,SA,2,20,12,10.0,0,2,2/18,21.0,0,0,0,-10.99,2017,-2.5
160,CA Soper ,PNG,2,7,7,7.0,0,1,1/20,27.0,0,0,0,-19.99,2017,-5.6
161,S Prasanna ,SL,1,11,11,11.0,0,1,1/25,25.0,0,0,0,-13.99,2017,-3.8000000000000003
162,AU Rashid ,ENG,1,1,1,1.0,0,3,3/25,8.33,0,0,0,-7.33,2017,-0.9989999999999999
163,Shoaib Malik ,ICC/PAK,11,300,53,75.0,0,3,2/13,18.66,0,4,0,56.33,2018,18.102
164,Faheem Ashraf ,PAK,10,37,21,18.5,0,7,3/5,28.0,0,4,0,-9.49,2018,-0.05000000000000071
165,Hussain Talat ,PAK,10,264,63,29.33,0,4,2/12,10.0,0,4,0,19.33,2018,7.398999999999999
166,Shadab Khan ,PAK,10,53,29,17.66,0,13,2/23,20.69,0,5,0,-3.02,2018,4.291000000000001
167,GH Dockrell ,IRE,8,47,22*,11.75,0,7,2/15,29.28,0,7,0,-17.53,2018,-2.4590000000000005
168,Hasan Ali ,PAK,8,0,0,0.0,0,8,2/19,24.5,0,3,0,-24.49,2018,-4.1499999999999995
