,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
137,PJ Hughes (AUS),4,45,30,11.25,0,,,,,,,,
138,RK Kleinveldt (SA),4,55,43,18.33,0,2,1/10,86.00,0,1,0,-67.66,2013
139,SE Marsh (AUS),4,176,151,58.66,1,,,,,,,,
140,BAW Mendis (SL),4,2,2,1.00,0,11,4/51,15.90,0,0,0,-14.90,2013
141,BMAJ Mendis (SL),4,51,25,12.75,0,1,1/28,47.00,0,1,0,-34.24,2013
142,T Panyangara (ZIM),4,4,3*,2.00,0,1,1/49,220.00,0,0,0,-217.99,2013
143,AN Petersen (SA),4,67,29,16.75,0,,,,,,,,
144,AM Phangiso (SA),4,18,18*,9.00,0,4,1/48,50.00,0,0,0,-40.99,2013
145,KP Pietersen (ENG),4,71,60,17.75,0,,,,,,,,
146,D Ramdin (WI),4,24,11*,12.00,0,,,,,,,,
147,R Rampaul (WI),4,2,2,2.00,0,5,3/38,28.40,0,2,0,-26.39,2013
148,AT Rayudu (IND),4,101,63*,50.50,0,,,,,,,,
149,TG Southee (NZ),4,28,15,28.00,0,3,3/37,51.00,0,0,0,-22.99,2013
150,MR Swart (NED),4,28,20,7.00,0,2,1/31,43.50,0,1,0,-36.49,2013
151,ES Szwarczynski (NED),4,145,98,36.25,0,,,,,,,,
152,RML Taylor (SCOT),4,40,16,13.33,0,6,3/39,30.33,0,2,0,-16.99,2013
153,R Vinay Kumar (IND),4,32,27*,32.00,0,2,1/32,76.50,0,2,0,-44.49,2013
154,Abdur Razzak (BAN),3,73,53*,73.00,0,1,1/10,98.00,0,0,0,-24.99,2013
155,Abdur Rehman (PAK),3,7,7,7.00,0,8,4/48,13.37,0,2,0,-6.37,2013
156,NM Carter (SCOT),3,0,0,0.00,0,5,3/27,26.40,0,0,0,-26.39,2013
157,KJ Coetzer (SCOT),3,126,57,42.00,0,,,,,,,,
158,TLW Cooper (NED),3,60,38,20.00,0,1,1/43,106.00,0,2,0,-85.99,2013
159,Q de Kock (SA),3,55,27,18.33,0,,,,,,,,
160,Fawad Ahmed (AUS),3,4,4*,-,,,,,,,,,
161,HJW Gardiner (SCOT),3,25,18,8.33,0,,,,,,,,
162,Mahmudullah (BAN),3,142,75*,71.00,0,1,1/29,59.00,0,0,0,12.00,2013
163,MR Marsh (AUS),3,31,22,10.33,0,0,,,,,,,
164,T Maruma (ZIM),3,30,18,10.00,0,,,,,,,,
165,SW Masakadza (ZIM),3,33,33,16.50,0,6,4/51,30.00,0,0,0,-13.49,2013
166,Mohammad Ashraful (BAN),3,42,29,14.00,0,,,,,,,,
167,JF Mooney (IRE),3,28,27,14.00,0,1,1/9,65.00,0,2,0,-50.99,2013
168,Mushfiqur Rahim (BAN),3,63,32,21.00,0,,,,,,,,
169,Nasir Hossain (BAN),3,167,68,55.66,0,,,,,,,,
170,Robiul Islam (BAN),3,0,0*,-,,,,,,,,,
171,Sarfaraz Ahmed (PAK),3,29,22,14.50,0,,,,,,,,
172,E Schiferli (NED),3,8,5,2.66,0,2,2/34,37.00,0,0,0,-34.33,2013
173,SMSM Senanayake (SL),3,7,7,7.00,0,4,2/29,29.00,0,0,0,-21.99,2013
174,Shafiul Islam (BAN),3,6,4,3.00,0,4,2/39,37.00,0,0,0,-33.99,2013
175,Shakib Al Hasan (BAN),3,53,34,17.66,0,1,1/42,112.00,0,1,0,-94.33,2013
176,MC Sorensen (IRE),3,55,31,55.00,0,5,3/36,19.40,0,1,0,35.60,2013
177,GP Swann (ENG),3,16,15,8.00,0,3,1/33,48.00,0,1,0,-39.99,2013
178,Tamim Iqbal (BAN),3,65,32,21.66,0,,,,,,,,
179,DL Vettori (NZ),3,5,5,5.00,0,2,1/16,33.00,0,1,0,-27.99,2013
180,M Vijay (IND),3,57,30,28.50,0,,,,,,,,
181,Ziaur Rahman (BAN),3,29,12,9.66,0,7,5/30,13.85,1,0,0,-4.19,2013
182,RG Aga (KENYA),2,12,10,6.00,0,2,2/32,37.00,0,1,0,-30.99,2013
183,A Bagai (CAN),2,3,3,3.00,0,,,,,,,,
184,HS Baidwan (CAN),2,2,2,2.00,0,0,,,,,,,
185,MT Chinouya (ZIM),2,6,6*,6.00,0,1,1/36,50.00,0,0,0,-43.99,2013
186,BN Cooper (NED),2,74,74,74.00,0,,,,,,,,
187,D Daesrath (CAN),2,31,31,31.00,0,,,,,,,,
188,JW Dernbach (ENG),2,2,2,2.00,0,1,1/55,142.00,0,0,0,-139.99,2013
189,XJ Doherty (AUS),2,15,15*,-,,,,,,,,,
190,GD Drummond (SCOT),2,12,8,6.00,0,0,,,,,,,
191,Ehsan Adil (PAK),2,5,5*,-,,,,,,,,,
192,GD Elliott (NZ),2,27,27,27.00,0,1,1/13,13.00,0,0,0,14.00,2013
193,JOA Gordon (CAN),2,2,2*,-,,,,,,,,,
194,R Gunasekera (CAN),2,1,1,0.50,0,,,,,,,,
195,AS Hansra (CAN),2,0,0,0.00,0,0,,,,,,,
196,Junaid Siddiqui (CAN),2,12,12,12.00,0,1,1/20,33.00,0,1,0,-20.99,2013
197,K Kamyuka (CAN),2,2,2,2.00,0,4,4/38,11.75,0,0,0,-9.74,2013
198,NR Kumar (CAN),2,19,19*,19.00,0,,,,,,,,
199,RAS Lakmal (SL),2,1,1,1.00,0,4,3/22,13.75,0,0,0,-12.74,2013
200,AD Mathews (SL),12,448,93,44.80,0,7,2/48,35.85,0,1,0,8.94,2014
201,E Chigumbura (ZIM),11,279,90,34.87,0,1,1/33,80.00,0,8,0,-45.12,2014
202,Q de Kock (SA),11,449,128,40.81,1,,,,,,,,
203,TM Dilshan (SL),11,447,88,44.70,0,4,3/40,44.50,0,2,0,0.20,2014
204,JP Duminy (SA),11,234,51,33.42,0,8,3/35,37.12,0,6,0,-3.69,2014
205,DPMD Jayawardene (SL),11,325,67,29.54,0,,,,,,,,
206,SL Malinga (SL),11,18,10,3.60,0,15,4/24,33.13,0,4,0,-29.53,2014
207,DA Miller (SA),11,115,45,28.75,0,,,,,,,,
208,SMA Priyanjan (SL),11,187,43,23.37,0,1,1/18,125.00,0,2,0,-101.62,2014
209,KC Sangakkara (SL),11,344,112,31.27,1,,,,,,,,
210,SC Williams (ZIM),11,299,70,29.90,0,10,2/21,39.10,0,6,0,-9.19,2014
211,HM Amla (SA),10,567,122*,63.00,3,,,,,,,,
212,JM Anderson (ENG),10,22,9*,11.00,0,12,2/10,29.00,0,5,0,-17.99,2014
213,JC Buttler (ENG),10,285,121,35.62,1,,,,,,,,
214,KMDN Kulasekara (SL),10,56,42*,9.33,0,7,3/15,52.28,0,6,0,-42.95,2014
215,H Masakadza (ZIM),10,398,93,39.80,0,2,2/37,21.50,0,1,0,18.30,2014
216,EJG Morgan (ENG),10,187,40,20.77,0,,,,,,,,
217,JE Root (ENG),10,278,113,30.88,1,0,,,,,,,
218,Sikandar Raza (ZIM),10,359,141,39.88,1,3,2/25,41.33,0,6,0,-1.44,2014
219,BRM Taylor (ZIM),10,249,79,27.66,0,,,,,,,,
220,AN Cook (ENG),9,260,56,32.50,0,,,,,,,,
221,AB de Villiers (SA),9,449,136*,64.14,2,0,,,,,,,
222,Imran Tahir (SA),9,25,23*,25.00,0,16,3/44,21.81,0,0,0,3.18,2014
223,R McLaren (SA),9,61,24,15.25,0,20,4/48,17.90,0,1,0,-2.64,2014
224,SMSM Senanayake (SL),9,56,13,9.33,0,13,4/13,24.15,0,5,0,-14.82,2014
225,HDRL Thirimanne (SL),9,174,60*,21.75,0,,,,,,,,
226,JC Tredwell (ENG),9,53,30,13.25,0,16,4/41,20.62,0,3,0,-7.37,2014
227,P Utseya (ZIM),9,66,30*,11.00,0,11,5/36,32.27,1,2,0,-21.27,2014
228,IR Bell (ENG),8,226,50,32.28,0,,,,,,,,
229,F du Plessis (SA),8,618,126,77.25,3,,,,,,,,
230,DW Steyn (SA),8,38,23,12.66,0,12,4/34,27.00,0,1,0,-14.33,2014
231,GS Ballance (ENG),7,129,64,25.80,0,,,,,,,,
232,HF Gurney (ENG),7,7,4*,7.00,0,10,4/55,27.40,0,1,0,-20.39,2014
233,CJ Jordan (ENG),7,80,38*,20.00,0,13,5/29,25.30,1,4,0,-5.30,2014
234,M Morkel (SA),7,0,0,0.00,0,11,2/39,32.63,0,3,0,-32.63,2014
235,J Nyumbu (ZIM),7,24,18,4.80,0,10,3/42,31.80,0,4,0,-26.99,2014
236,WD Parnell (SA),7,40,24,20.00,0,11,3/28,26.09,0,1,0,-6.09,2014
237,AM Phangiso (SA),7,18,13,9.00,0,10,3/43,23.60,0,3,0,-14.59,2014
238,AM Rahane (IND),7,259,106,37.00,1,,,,,,,,
239,SK Raina (IND),7,227,100,45.40,1,5,1/12,28.20,0,5,0,17.20,2014
240,MN Waller (ZIM),7,65,20,10.83,0,2,1/9,50.50,0,2,0,-39.66,2014
241,Al-Amin Hossain (BAN),6,1,1*,0.50,0,13,4/51,19.30,0,1,0,-18.80,2014
242,Anamul Haque (BAN),6,160,109,32.00,1,,,,,,,,
243,RS Bopara (ENG),6,81,51,16.20,0,3,2/26,51.33,0,2,0,-35.13,2014
244,TL Chatara (ZIM),6,22,10*,-,,,,,,,,,
245,Dawlat Zadran (AFG),6,52,24*,52.00,0,9,3/36,27.55,0,4,0,24.44,2014
246,Mahmudullah (BAN),6,79,41,15.80,0,3,1/20,48.66,0,3,0,-32.86,2014
247,Mashrafe Mortaza (BAN),6,40,18,10.00,0,9,3/39,23.88,0,0,0,-13.88,2014
248,BAW Mendis (SL),6,24,18*,12.00,0,14,3/27,18.85,0,4,0,-6.85,2014
249,Mohammad Nabi (AFG),6,246,77,49.20,0,6,2/35,34.50,0,3,0,14.70,2014
250,Mushfiqur Rahim (BAN),6,160,72,32.00,0,,,,,,,,
251,Nasir Hossain (BAN),6,85,26,17.00,0,0,,,,,,,
252,MDKJ Perera (SL),6,116,37,19.33,0,,,,,,,,
253,AT Rayudu (IND),6,135,64*,45.00,0,1,1/8,8.00,0,2,0,37.00,2014
254,Samiullah Shinwari (AFG),6,276,82*,55.20,0,2,1/37,72.50,0,2,0,-17.29,2014
255,Shafiqullah (AFG),6,113,56,28.25,0,,,,,,,,
256,Tamim Iqbal (BAN),6,122,55,24.40,0,,,,,,,,
257,Usman Ghani (AFG),6,300,118,50.00,1,1,1/21,34.00,0,1,0,16.00,2014
258,GJ Bailey (AUS),5,125,66,25.00,0,,,,,,,,
259,LD Chandimal (SL),5,73,39,14.60,0,,,,,,,,
260,AJ Finch (AUS),5,250,102,50.00,1,0,,,,,,,
261,BJ Haddin (AUS),5,121,49,24.20,0,,,,,,,,
262,HMRKB Herath (SL),5,1,1,1.00,0,6,2/38,28.33,0,2,0,-27.33,2014
263,MR Marsh (AUS),5,222,89,55.50,0,3,2/23,37.33,0,2,0,18.16,2014
264,GJ Maxwell (AUS),5,115,93,23.00,0,4,2/22,23.75,0,2,0,-0.74,2014
265,R Mutumbami (ZIM),5,100,64,20.00,0,,,,,,,,
266,Noor Ali Zadran (AFG),5,127,53,25.40,0,,,,,,,,
267,T Panyangara (ZIM),5,16,15*,16.00,0,5,2/58,52.20,0,0,0,-36.19,2014
268,Shapoor Zadran (AFG),5,5,5*,-,,,,,,,,,
269,MM Sharma (IND),5,5,4*,5.00,0,4,4/22,20.00,0,1,0,-14.99,2014
