,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
182,Taijul Islam (BAN),2,18,12,4.50,0,8,5/135,38.62,1,1,0,-34.12,2014
183,Tamim Iqbal (BAN),2,166,64,41.50,0,,,,,,,,
184,KDK Vithanage (SL),2,36,13,12.00,0,0,,,,,,,
185,Younis Khan (PAK),2,211,177,52.75,1,,,,,,,,
186,Anamul Haque (BAN),1,9,9,4.50,0,,,,,,,,
187,RW Chakabva (ZIM),1,15,15,7.50,0,,,,,,,,
188,TL Chatara (ZIM),1,22,22,22.00,0,2,1/5,19.50,0,0,0,2.50,2014
189,PG Fulton (NZ),1,1,1,0.50,0,,,,,,,,
190,JO Holder (WI),1,90,52,45.00,0,2,2/26,25.00,0,1,0,20.00,2014
191,Imrul Kayes (BAN),1,34,25,17.00,0,,,,,,,,
192,HAPW Jayawardene (SL),1,14,8,7.00,0,,,,,,,,
193,LR Johnson (WI),1,107,66,53.50,0,0,,,,,,,
194,KMDN Kulasekara (SL),1,10,9,5.00,0,2,1/65,74.00,0,0,0,-68.99,2014
195,H Masakadza (ZIM),1,64,45,32.00,0,,,,,,,,
196,BAW Mendis (SL),1,2,2,2.00,0,0,,,,,,,
197,Mohammad Talha (PAK),1,13,9*,13.00,0,2,1/12,58.00,0,0,0,-44.99,2014
198,R Mutumbami (ZIM),1,64,43,32.00,0,,,,,,,,
199,J Nyumbu (ZIM),1,15,13,7.50,0,5,5/157,36.20,1,0,0,-28.69,2014
200,T Panyangara (ZIM),1,14,12,7.00,0,0,,,,,,,
201,DL Piedt (SA),1,13,13,13.00,0,8,4/62,19.00,0,2,0,-5.99,2014
202,KOA Powell (WI),1,28,28,14.00,0,,,,,,,,
203,Robiul Islam (BAN),1,0,0,0.00,0,2,2/63,52.50,0,0,0,-52.49,2014
204,Rubel Hossain (BAN),1,1,1,0.50,0,1,1/110,110.00,0,1,0,-109.49,2014
205,MN Samuels (WI),1,0,0,0.00,0,0,,,,,,,
206,Shafiul Islam (BAN),1,24,14,12.00,0,3,2/80,40.66,0,1,0,-28.66,2014
207,RG Sharma (IND),1,34,28,17.00,0,1,1/26,58.00,0,0,0,-40.99,2014
208,Shuvagata Hom (BAN),1,16,16,8.00,0,1,1/104,104.00,0,1,0,-95.99,2014
209,V Sibanda (ZIM),1,45,45,22.50,0,,,,,,,,
210,BRM Taylor (ZIM),1,98,93,49.00,0,,,,,,,,
211,DT Tiripano (ZIM),1,20,15*,20.00,0,2,2/65,32.50,0,1,0,-12.49,2014
212,MA Vermeulen (ZIM),1,35,21,17.50,0,,,,,,,,
213,N Wagner (NZ),1,2,2,2.00,0,5,4/64,22.80,0,0,0,-20.79,2014
214,Wahab Riaz (PAK),1,34,17,17.00,0,6,3/76,27.33,0,0,0,-10.33,2014
215,UWMBCA Welegedara (SL),1,27,27*,27.00,0,1,1/22,87.00,0,1,0,-59.99,2014
216,SC Williams (ZIM),1,27,24,13.50,0,2,2/95,52.00,0,0,0,-38.49,2014
217,IR Bell (ENG),10,413,143,24.29,1,,,,,,,,
218,SCJ Broad (ENG),10,226,46,15.06,0,44,8/15,24.75,2,2,0,-9.68,2015
219,JC Buttler (ENG),10,396,73,28.28,0,,,,,,,,
220,AN Cook (ENG),10,907,162,50.38,2,,,,,,,,
221,JE Root (ENG),10,1001,182*,62.56,3,8,2/22,34.00,0,18,0,28.56,2015
222,BA Stokes (ENG),10,605,101,35.58,1,18,6/36,49.88,1,8,0,-14.30,2015
